amount,quantity,price,stock,age,income,purchased,days_since_signup,days_since_last_purchase,purchase_month,purchase_weekday,gender_encoded,payment_mode_encoded,city_Bengaluru,city_Bhopal,city_Chennai,city_Coimbatore,city_Dehradun,city_Gurgaon,city_Indore,city_Jaipur,city_Kochi,city_Kolkata,city_Lucknow,city_Mumbai,city_Nagpur,city_Noida,city_Patna,city_Pune,city_Surat,city_Vadodara,city_Visakhapatnam,category_Computer,category_Electronics,category_Home,category_Mobile Accessories,category_Wearable,product_name_encoded,income_bin,total_purchases,purchase_per_day,avg_spend_per_purchase,recency_score,income_quantile_bin,frequent_buyer
1245.0,5.0,249.0,100.0,49.0,135600.18220735842,1,1246,40,5,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,2,0.9991974317817014,622.5,0.024390243902439025,2,0
1396.0,4.0,349.0,90.0,40.58459111516602,182697.0,1,913,46,5,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,2,2,1.529025191675794,698.0,0.02127659574468085,2,0
1099.0,1.0,1099.0,30.0,24.0,33696.0,1,1512,321,8,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0,2,0.7268518518518519,549.5,0.003105590062111801,0,0
1198.0,2.0,599.0,80.0,45.0,158557.0,1,1078,251,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2,1,1.111317254174397,1198.0,0.003968253968253968,2,0
4396.0,4.0,1099.0,30.0,26.0,219657.0,1,1242,23,6,5,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,3,4,3.5394524959742353,1099.0,0.041666666666666664,3,1
2697.0,3.0,899.0,60.0,55.0,143903.0,1,1277,171,1,4,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2,2,2.111981205951449,1348.5,0.005813953488372093,2,0
1495.0,5.0,299.0,100.0,50.0,174228.0,1,1328,323,8,6,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,2,1,1.1257530120481927,1495.0,0.0030864197530864196,2,0
4497.0,3.0,1499.0,35.0,29.0,132842.0,1,2251,513,2,5,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,1,2,1.9977787649933363,2248.5,0.0019455252918287938,1,0
999.0,1.0,999.0,40.0,56.0,163663.0,1,1906,97,3,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,2,2,0.5241343126967472,499.5,0.01020408163265306,2,0
2998.0,2.0,1499.0,35.0,20.0,156270.0,1,1134,187,12,2,1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,2,2,2.6437389770723105,1499.0,0.005319148936170213,2,0
